Year;Author;Title;ID;ID_2;Exp_ID;Effect_ID;ES_ID;Type_of_study;Medical_Field;LLM_Model;Accessed_model;Model_version;Timestamp_of_model;Temperature;Test_Data;Recruitment_Country;Career_stage;Prior_LLM_training_of_physicians;Control_group_resources;Treatment_group_resources;Pre-training_of_LLM;Case_setting;Task_Format;Patient_history;Input_Form_Patient_Information_in_LLM;Input_Form_Patient_Information_clinician;Follow_Up_Prompts_Allowed;Time_restrictions;Explanation_Format_of_LLM;Time_lag_sessions;Type_of_Results;N_total;N_physicians_total;N_cases_total;N_assessments_total;Same_Cases_Both_Conditions;h_design;h_unit_level;h_var_level;h_n_pairs;h_r_used;h_r_source;h_b;h_c;h_measure_class;M_control;n_control_case;n_control_physician;n_control;SE_control;SD_control;95CI_lower_control;95CI_upper_control;M_treatment;n_treatment_case;n_treatment_physician;n_treatment;SE_treatment;SD_treatment;95CI_lower_treatment;95CI_upper_treatment;Performance_Difference;Performance_Difference_SD;Performance_Difference_SE;95CI_lower_performance_diff;95CI_upper_performance_diff;Performance_difference_p_value;Odds_Ratio;95CI_lower_odds_ratio;95CI_upper_odds_ratio;Correlation_r_between_conditions;Discordant_b;Discordant_c;Reader_cluster_adjusted_SD_SE_CI;h_icc
2026;Chen et al.;Grounding large language models in clinical diagnostics;Chen et al. (2026);4;41;2;412;peer-reviewed;General medicine;ClinDiag-GPT;"API within the authors' ClinDiag-Framework (Autogen-based two-agent system); base model Qwen2.5-72b open-source, fine-tuned model not released; demo at clindiag.streamlit.app";"ClinDiag-GPT, base Qwen2.5-72b-Instruct (alternatives fine-tuned: Qwen3-32b-instruct, Qwen2.5-32b-instruct); LoRA SFT, max sequence length 16,384 tokens";NR;0.3;internal;China;Resident;0;NR;NR;1;Real-world (published) cases;Open-ended;1;Text;text;1;"NR (no time limit reported; a maximum of 50 doctor-provider interaction rounds per stage)";Differential, free text;"NR (parallel-group design; different physicians in the two arms, no repeated measurement)";Top-1;20;6;20;40;1;parallel;case;case;;NR;none;;;proportion;80;20;3;20;NR;NR;58.4;91.93;75;20;3;20;NR;NR;53.13;88.81;"NR (not reported as a difference; arm accuracies given as proportions with 95% CI in Suppl. Table 24)";NR;NR;NR;NR;NR;NR;NR;NR;;;;NR;
2026;Chen et al.;Grounding large language models in clinical diagnostics;Chen et al. (2026);4;41;3;413;peer-reviewed;General medicine;ClinDiag-GPT;"API within the authors' ClinDiag-Framework (Autogen-based two-agent system); base model Qwen2.5-72b open-source, fine-tuned model not released; demo at clindiag.streamlit.app";"ClinDiag-GPT, base Qwen2.5-72b-Instruct (alternatives fine-tuned: Qwen3-32b-instruct, Qwen2.5-32b-instruct); LoRA SFT, max sequence length 16,384 tokens";NR;0.3;internal;China;Resident;0;NR;NR;1;Real-world (published) cases;Open-ended;1;Text;text;1;"NR (no time limit reported; a maximum of 50 doctor-provider interaction rounds per stage)";Differential, free text;"NR (parallel-group design; different physicians in the two arms, no repeated measurement)";Top-1;20;6;20;40;1;parallel;case;case;;NR;none;;;proportion;15;20;3;20;NR;NR;5.24;36.04;30;20;3;20;NR;NR;14.55;51.9;"NR (not reported as a difference; arm accuracies given as proportions with 95% CI in Suppl. Table 24)";NR;NR;NR;NR;NR;NR;NR;NR;;;;NR;
2026;Dezoteux et al.;AI-assisted dermatologic diagnosis using a large language model;Dezoteux et al. (2026);5;51;1;511;peer-reviewed;Other;GPT-o1;NR;"GPT-o1 (OpenAI ""o1""); exact snapshot/version not reported; July 2024 knowledge cutoff mentioned";NR;NR;"unknown (the 308 JAMA Dermatology Clinical Challenge cases are publicly available and span Sept 2014-Feb 2025, i.e. largely before the o1 July-2024 cutoff; the authors report o1 accuracy was stable before vs after the cutoff, which mitigates but does not exclude memorization - see Note)";France;Mixed;0;0;0;0;Real-world (published) cases;Multiple choice;1;Multimodal (text + image);multimodal (text + image);0;NR;CoT;"none / NR (immediate re-answer after viewing GPT-o1 output within the same session; no washout described; the authors acknowledge potential second-look effects inherent to the pre/post design)";Top-1;650;13;50;1300;1;within_subject;physician-case;physician-case;650;0.7;from_bc;164;20;proportion;58.6;50;13;650;"NR (binary arm; paired variance identified via discordant cells b=164, c=20 - g_av + Var computed in 'Dezoteux paired data' tab)";"NR (binary arm; paired variance identified via discordant cells b=164, c=20 - see 'Dezoteux paired data' tab)";54.8;62.4;80.8;50;13;650;NR;NR;77.7;83.8;22.2;NR;1.9;18.44;25.87;"<0.0001 (exact McNemar on author 2x2: chi2=(b-c)^2/(b+c)=144^2/184=112.7, p~=2.5e-26; b=164, c=20)";"8.2 (McNemar OR = b/c = 164/20; discordant pairs favour GPT-o1 ~8:1, wrong->correct vs correct->wrong; author 2x2 via Isabel)";NR;NR;"tetrachoric r_tet=0.70 (phi=0.42) from author 2x2 a=361,b=164,c=20,d=105; the paired variance is identified directly by b,c (McNemar) and is independent of r - see 'Dezoteux paired data' tab";164;20;"Nein – reported arm 95% CIs are case-level Wald CIs; physician clustering is explicitly not modelled. Paired b/c-based variance still needs downstream reader-level design-effect/CRVE handling.";0.009
2024;Goh et al. ;Large Language Model Influence on Diagnostic Reasoning;Goh et al. ;6;61;1;611;peer-reviewed;General medicine;GPT-4;ChatGPT plus (OpenAI);NR;NR;0;external;United States;Mixed;0;1;0;0;Real-world;Open-ended;1;Text;text;1;0;Free text;NR (separate groups);Top-1;244;50;6;244;1;parallel;physician-case;physician-case;;NR;;;;proportion;0.63;6;25;119;NR;NR;NR;NR;0.71;6;25;125;NR;NR;NR;NR;0.08;;NR;0;0;0;1.9;0.9;4;;;;NR;
2025;Healy et al.;Human-AI Collaboration in Clinical Reasoning: A UK Replication and Interaction Analysis;Healy et al. (2025);7;71;1;711;peer-reviewed;General medicine;GPT-4o;API (OpenAI GPT-4o via custom-built web application);GPT-4o (exact snapshot/version NR);NR;NR;unknown (published validated vignettes [Berner 1994 / Goh 2024], publicly available, predate model training cutoff);United Kingdom;Mixed;0;1;UNCLEAR;0;Real-world;Open-ended;1;Text;text;1;"none (asynchronous; time per case not controlled)";Free text;"no washout (single asynchronous session; conditions alternated by case position)";Top-1;22;22;4;87;0;within_subject;physician-case;physician-case;"NR (independent); Varianz über CR2 abzufangen (analog Kim Studie)";NR;none;;;continuous;64.8;44;22;44;NR;35.07;NR;NR;73.3;43;22;43;NR;38.43;NR;NR;8.5;10.39;NR;NR;NR;NR;NR;NR;NR;NR;NR;NR;Ja (für die berichteten adjustierten CIs) – ABER ICC potentiell unstabil, da nur 2 Fälle pro Zelle (daher nicht genutzt);
2025;Horiuchi et al.;ChatGPT's diagnostic performance based on textual vs. visual information compared to radiologists' diagnostic performance in musculoskeletal radiology;Horiuchi et al. (2025);8;81;1;811;peer-reviewed;Radiology;GPT-4;website (ChatGPT, OpenAI, https://chat.openai.com/);September 25 Version (stated for ChatGPT based on the GPT-4 architecture);all ChatGPT queries were performed once per case between September 28 and October 6, 2023 (the dates of the radiologists' unaided and assisted readings are not reported);NR;unknown;Japan;Resident;0;0;0;0;Real-world (published) cases;Open-ended;1;Text;multimodal (text + image);0;NR;CoT;NR;Top-1;106;1;106;212;1;within_subject;case;case;106;NR;none;;;proportion;40.566;106;1;106;NR;49.1019;NR;NR;46.2264;106;1;106;NR;49.8574;NR;NR;5.6604;NR (no dispersion of the paired difference and no 2x2 discordant cells reported);NR;NR;NR;NR;NR (no odds ratio is reported anywhere in the paper);NR;NR;NR;"NR (2x2 discordant cells not reported; from the margins only b - c = +6 is identified (43/106 -> 49/106); b + c is bounded but NOT identified - no McNemar statistic and no p value are reported for this contrast)";"NR (2x2 discordant cells not reported; from the margins only b - c = +6 is identified (43/106 -> 49/106); b + c is bounded but NOT identified - no McNemar statistic and no p value are reported for this contrast)";"Nein – notes explicitly state no MRMC and no modelling of reader/case clustering; for the assistance contrast the paired variance is not identified from the paper.";
2025;Horiuchi et al.;ChatGPT's diagnostic performance based on textual vs. visual information compared to radiologists' diagnostic performance in musculoskeletal radiology;Horiuchi et al. (2025);8;81;2;812;peer-reviewed;Radiology;GPT-4;website (ChatGPT, OpenAI, https://chat.openai.com/);September 25 Version (stated for ChatGPT based on the GPT-4 architecture);all ChatGPT queries were performed once per case between September 28 and October 6, 2023 (the dates of the radiologists' unaided and assisted readings are not reported);NR;unknown;Japan;Resident;0;0;0;0;Real-world (published) cases;Open-ended;1;Text;multimodal (text + image);0;NR;CoT;NR;Top-3;106;1;106;212;1;within_subject;case;case;106;NR;none;;;proportion;57.5472;106;1;106;NR;49.4271;NR;NR;64.1509;106;1;106;NR;47.9557;NR;NR;6.6037;NR (no dispersion of the paired difference and no 2x2 discordant cells reported);NR;NR;NR;NR;NR (no odds ratio is reported anywhere in the paper);NR;NR;NR;"NR (2x2 discordant cells not reported; from the margins only b - c = +7 is identified (61/106 -> 68/106); b + c is bounded but NOT identified - no McNemar statistic and no p value are reported for this contrast)";"NR (2x2 discordant cells not reported; from the margins only b - c = +7 is identified (61/106 -> 68/106); b + c is bounded but NOT identified - no McNemar statistic and no p value are reported for this contrast)";"Nein – notes explicitly state no MRMC and no modelling of reader/case clustering; for the assistance contrast the paired variance is not identified from the paper.";
2025;Horiuchi et al.;ChatGPT's diagnostic performance based on textual vs. visual information compared to radiologists' diagnostic performance in musculoskeletal radiology;Horiuchi et al. (2025);8;82;1;821;peer-reviewed;Radiology;GPT-4;website (ChatGPT, OpenAI, https://chat.openai.com/);September 25 Version (stated for ChatGPT based on the GPT-4 architecture);all ChatGPT queries were performed once per case between September 28 and October 6, 2023 (the dates of the radiologists' unaided and assisted readings are not reported);NR;unknown;Japan;Attending;0;0;0;0;Real-world (published) cases;Open-ended;1;Text;multimodal (text + image);0;NR;CoT;NR;Top-1;106;1;106;212;1;within_subject;case;case;106;NR;none;;;proportion;52.8302;106;1;106;NR;49.9198;NR;NR;58.4906;106;1;106;NR;49.2738;NR;NR;5.6604;NR (no dispersion of the paired difference and no 2x2 discordant cells reported);NR;NR;NR;NR;NR (no odds ratio is reported anywhere in the paper);NR;NR;NR;"NR (2x2 discordant cells not reported; from the margins only b - c = +6 is identified (56/106 -> 62/106); b + c is bounded but NOT identified - no McNemar statistic and no p value are reported for this contrast)";"NR (2x2 discordant cells not reported; from the margins only b - c = +6 is identified (56/106 -> 62/106); b + c is bounded but NOT identified - no McNemar statistic and no p value are reported for this contrast)";"Nein – notes explicitly state no MRMC and no modelling of reader/case clustering; for the assistance contrast the paired variance is not identified from the paper.";
2025;Horiuchi et al.;ChatGPT's diagnostic performance based on textual vs. visual information compared to radiologists' diagnostic performance in musculoskeletal radiology;Horiuchi et al. (2025);8;82;2;822;peer-reviewed;Radiology;GPT-4;website (ChatGPT, OpenAI, https://chat.openai.com/);September 25 Version (stated for ChatGPT based on the GPT-4 architecture);all ChatGPT queries were performed once per case between September 28 and October 6, 2023 (the dates of the radiologists' unaided and assisted readings are not reported);NR;unknown;Japan;Attending;0;0;0;0;Real-world (published) cases;Open-ended;1;Text;multimodal (text + image);0;NR;CoT;NR;Top-3;106;1;106;212;1;within_subject;case;case;106;NR;none;;;proportion;66.9811;106;1;106;NR;47.0281;NR;NR;72.6415;106;1;106;NR;44.5798;NR;NR;5.6604;NR (no dispersion of the paired difference and no 2x2 discordant cells reported);NR;NR;NR;NR;NR (no odds ratio is reported anywhere in the paper);NR;NR;NR;"NR (2x2 discordant cells not reported; from the margins only b - c = +6 is identified (71/106 -> 77/106); b + c is bounded but NOT identified - no McNemar statistic and no p value are reported for this contrast)";"NR (2x2 discordant cells not reported; from the margins only b - c = +6 is identified (71/106 -> 77/106); b + c is bounded but NOT identified - no McNemar statistic and no p value are reported for this contrast)";"Nein – notes explicitly state no MRMC and no modelling of reader/case clustering; for the assistance contrast the paired variance is not identified from the paper.";
2026;Ji et al.;Early diagnosis of axial spondyloarthritis in primary care using multi-agent systems;Ji et al. (2026);9;91;1;911;peer-reviewed;Other;SpAgents;NR;NR;NR;NR;internal;China;Attending;0;NR;NR;1;Real-world;Classification;1;Multimodal (text + image);"UNCLEAR (physicians diagnosed anonymized patient cases; the exact material shown - text records only or text plus MRI images - is not described)";1;NR;CoT;2 weeks;Top-1;100;1;100;200;1;within_subject;case;case;100;NR;none;;;proportion;0.74;100;1;100;NR;NR;0.654;0.826;0.84;100;1;100;NR;NR;0.7681;0.9119;"NR (not reported as a difference; the two arm values are reported separately)";"NR (no dispersion of the paired difference and no 2x2 discordant cells reported => paired effect size not computable; author contact required)";NR;NR;NR;"0.01 (Table 6; Doctor 1 without SpAgents vs with SpAgents after the 2-week washout; McNemar's test)";NR;NR;NR;;;;NR;
2026;Ji et al.;Early diagnosis of axial spondyloarthritis in primary care using multi-agent systems;Ji et al. (2026);9;91;2;912;peer-reviewed;Other;SpAgents;NR;NR;NR;NR;internal;China;Attending;0;NR;NR;1;Real-world;Classification;1;Multimodal (text + image);"UNCLEAR (physicians diagnosed anonymized patient cases; the exact material shown - text records only or text plus MRI images - is not described)";1;NR;CoT;3 months;Top-1;100;1;100;200;1;within_subject;case;case;100;NR;none;;;proportion;0.74;100;1;100;NR;NR;0.654;0.826;0.85;100;1;100;NR;NR;0.78;0.92;"NR (not reported as a difference; the two arm values are reported separately)";"NR (no dispersion of the paired difference and no 2x2 discordant cells reported => paired effect size not computable; author contact required)";NR;NR;NR;"0.011 (Table 6; Doctor 1 without SpAgents vs with SpAgents after the 3-month washout; McNemar's test)";NR;NR;NR;;;;NR;
2026;Ji et al.;Early diagnosis of axial spondyloarthritis in primary care using multi-agent systems;Ji et al. (2026);9;92;1;921;peer-reviewed;Other;SpAgents;NR;NR;NR;NR;internal;China;Attending;0;NR;NR;1;Real-world;Classification;1;Multimodal (text + image);"UNCLEAR (physicians diagnosed anonymized patient cases; the exact material shown - text records only or text plus MRI images - is not described)";1;NR;CoT;2 weeks;Top-1;100;1;100;200;1;within_subject;case;case;100;NR;none;;;proportion;0.78;100;1;100;NR;NR;0.6988;0.8612;0.81;100;1;100;NR;NR;0.7331;0.8869;"NR (not reported as a difference; the two arm values are reported separately)";"NR (no dispersion of the paired difference and no 2x2 discordant cells reported => paired effect size not computable; author contact required)";NR;NR;NR;"<0.001 (Table 6; Doctor 2 without SpAgents vs with SpAgents after the 2-week washout; McNemar's test)";NR;NR;NR;;;;NR;
2026;Ji et al.;Early diagnosis of axial spondyloarthritis in primary care using multi-agent systems;Ji et al. (2026);9;92;2;922;peer-reviewed;Other;SpAgents;NR;NR;NR;NR;internal;China;Attending;0;NR;NR;1;Real-world;Classification;1;Multimodal (text + image);"UNCLEAR (physicians diagnosed anonymized patient cases; the exact material shown - text records only or text plus MRI images - is not described)";1;NR;CoT;3 months;Top-1;100;1;100;200;1;within_subject;case;case;100;NR;none;;;proportion;0.78;100;1;100;NR;NR;0.6988;0.8612;0.83;100;1;100;NR;NR;0.76;0.9;"NR (not reported as a difference; the two arm values are reported separately)";"NR (no dispersion of the paired difference and no 2x2 discordant cells reported => paired effect size not computable; author contact required)";NR;NR;NR;"<0.001 (Table 6; Doctor 2 without SpAgents vs with SpAgents after the 3-month washout; McNemar's test)";NR;NR;NR;;;;NR;
2026;Ji et al.;Early diagnosis of axial spondyloarthritis in primary care using multi-agent systems;Ji et al. (2026);9;93;1;931;peer-reviewed;Other;SpAgents;NR;NR;NR;NR;internal;China;Attending;0;NR;NR;1;Real-world;Classification;1;Multimodal (text + image);"UNCLEAR (physicians diagnosed anonymized patient cases; the exact material shown - text records only or text plus MRI images - is not described)";1;NR;CoT;2 weeks;Top-1;100;1;100;200;1;within_subject;case;case;100;NR;none;;;proportion;0.71;100;1;100;NR;NR;0.6211;0.7989;0.84;100;1;100;NR;NR;0.7681;0.9119;"NR (not reported as a difference; the two arm values are reported separately)";"NR (no dispersion of the paired difference and no 2x2 discordant cells reported => paired effect size not computable; author contact required)";NR;NR;NR;"<0.001 (Table 6; Doctor 3 without SpAgents vs with SpAgents after the 2-week washout; McNemar's test)";NR;NR;NR;;;;NR;
2026;Ji et al.;Early diagnosis of axial spondyloarthritis in primary care using multi-agent systems;Ji et al. (2026);9;93;2;932;peer-reviewed;Other;SpAgents;NR;NR;NR;NR;internal;China;Attending;0;NR;NR;1;Real-world;Classification;1;Multimodal (text + image);"UNCLEAR (physicians diagnosed anonymized patient cases; the exact material shown - text records only or text plus MRI images - is not described)";1;NR;CoT;3 months;Top-1;100;1;100;200;1;within_subject;case;case;100;NR;none;;;proportion;0.71;100;1;100;NR;NR;0.6211;0.7989;0.85;100;1;100;NR;NR;0.78;0.9152;"NR (not reported as a difference; the two arm values are reported separately)";"NR (no dispersion of the paired difference and no 2x2 discordant cells reported => paired effect size not computable; author contact required)";NR;NR;NR;"0.002 (Table 6; Doctor 3 without SpAgents vs with SpAgents after the 3-month washout; McNemar's test)";NR;NR;NR;;;;NR;
